id;k1;b1;D1;p-value linear 1;R_score1;AIC_linear1;kef x^2 (1);kef x (1);kef 1 (1);p-value quadr 1;R_score quadr 1;AIC_quadr1
1;-1.969;14.573;1.969;0.0000000000000000000000000;0.999;-75.562;-0.008;-1.893;14.420;0.0000000000000000000000000;0.999;-77.163
2;-1.936;14.778;1.936;0.0000000000000000000000000;0.999;-77.458;-0.000;-1.933;14.773;0.0000000000000000000000000;0.999;-75.461
8;-1.988;15.965;1.988;0.0000000000000000000000000;0.999;-79.595;0.004;-2.030;16.048;0.0000000000000000000000000;0.999;-78.745
9;-2.012;15.613;2.012;0.0000000000000000000000000;0.998;-29.951;0.010;-2.107;15.804;0.0000000000000000000000000;0.998;-29.750
10;-1.883;14.047;1.883;0.0000000000000000000000000;0.998;-43.503;-0.025;-1.648;13.576;0.0000000000000000000000000;0.999;-60.100
13;-1.973;13.937;1.973;0.0000000000000000000000000;0.999;-46.120;0.001;-1.985;13.961;0.0000000000000000000000000;0.999;-44.163
14;-1.868;13.419;1.868;0.0000000000000000000000000;0.996;-7.681;-0.050;-1.396;12.470;0.0000000000000000000000000;0.998;-44.948
15;-1.908;14.343;1.908;0.0000000000000000000000000;0.998;-33.558;-0.014;-1.778;14.082;0.0000000000000000000000000;0.998;-35.329
16;-2.000;15.932;2.000;0.0000000000000000000000000;0.996;-6.123;0.015;-2.146;16.225;0.0000000000000000000000000;0.997;-6.499
17;-1.934;14.235;1.934;0.0000000000000000000000000;0.999;-81.160;-0.007;-1.872;14.109;0.0000000000000000000000000;0.999;-81.909
18;-1.984;15.815;1.984;0.0000000000000000000000000;1.000;-110.791;0.004;-2.021;15.890;0.0000000000000000000000000;1.000;-110.777
19;-1.977;15.212;1.977;0.0000000000000000000000000;0.999;-55.113;0.010;-2.070;15.398;0.0000000000000000000000000;0.999;-56.335
20;-1.990;14.629;1.990;0.0000000000000000000000000;1.000;-94.031;0.007;-2.056;14.761;0.0000000000000000000000000;1.000;-96.251
22;-1.984;14.554;1.984;0.0000000000000000000000000;0.995;4.512;0.015;-2.122;14.831;0.0000000000000000000000000;0.995;4.879
24;-1.960;14.737;1.960;0.0000000000000000000000000;0.999;-63.393;-0.007;-1.891;14.598;0.0000000000000000000000000;0.999;-63.543
26;-1.994;14.855;1.994;0.0000000000000000000000000;0.998;-35.389;0.001;-2.001;14.870;0.0000000000000000000000000;0.998;-33.401
27;-1.768;12.638;1.768;0.0000000000000000000000000;0.996;-13.546;0.042;-2.164;13.435;0.0000000000000000000000000;0.998;-40.147
28;-1.967;14.370;1.967;0.0000000000000000000000000;0.999;-75.196;-0.000;-1.965;14.366;0.0000000000000000000000000;0.999;-73.198
29;-1.905;13.215;1.905;0.0000000000000000000000000;0.999;-78.496;-0.017;-1.741;12.886;0.0000000000000000000000000;1.000;-98.634
30;-1.954;13.052;1.954;0.0000000000000000000000000;0.998;-38.893;-0.019;-1.773;12.687;0.0000000000000000000000000;0.999;-45.800
32;-1.962;14.102;1.962;0.0000000000000000000000000;0.999;-81.132;-0.007;-1.896;13.970;0.0000000000000000000000000;0.999;-82.137
33;-1.958;15.273;1.958;0.0000000000000000000000000;0.999;-73.979;-0.007;-1.895;15.146;0.0000000000000000000000000;0.999;-74.310
35;-1.885;12.777;1.885;0.0000000000000000000000000;0.999;-58.074;0.005;-1.934;12.877;0.0000000000000000000000000;0.999;-57.039
36;-1.827;13.375;1.827;0.0000000000000000000000000;0.998;-38.811;0.015;-1.965;13.651;0.0000000000000000000000000;0.998;-41.664
37;-1.959;13.811;1.959;0.0000000000000000000000000;0.998;-26.745;-0.021;-1.757;13.405;0.0000000000000000000000000;0.998;-32.860
38;-1.870;11.297;1.870;0.0000000000000000000000000;0.999;-57.590;-0.023;-1.650;10.855;0.0000000000000000000000000;0.999;-80.268
39;-1.984;14.748;1.984;0.0000000000000000000000000;0.999;-72.009;0.009;-2.066;14.911;0.0000000000000000000000000;0.999;-73.756
41;-1.881;13.978;1.881;0.0000000000000000000000000;0.999;-48.553;-0.009;-1.794;13.804;0.0000000000000000000000000;0.999;-48.918
42;-1.951;14.141;1.951;0.0000000000000000000000000;0.999;-72.260;-0.008;-1.876;13.990;0.0000000000000000000000000;0.999;-73.496
43;-1.995;14.850;1.995;0.0000000000000000000000000;0.999;-48.024;0.008;-2.075;15.010;0.0000000000000000000000000;0.999;-47.990
44;-1.969;13.578;1.969;0.0000000000000000000000000;0.999;-80.135;-0.002;-1.953;13.546;0.0000000000000000000000000;0.999;-78.307
45;-1.876;12.056;1.876;0.0000000000000000000000000;0.998;-46.078;0.008;-1.953;12.209;0.0000000000000000000000000;0.999;-45.795
46;-1.971;14.205;1.971;0.0000000000000000000000000;1.000;-101.630;-0.013;-1.849;13.960;0.0000000000000000000000000;1.000;-121.051
47;-1.956;13.028;1.956;0.0000000000000000000000000;0.998;-37.713;-0.026;-1.715;12.543;0.0000000000000000000000000;0.999;-52.431
48;-1.994;14.882;1.994;0.0000000000000000000000000;0.999;-47.322;-0.010;-1.902;14.697;0.0000000000000000000000000;0.999;-47.945
50;-1.888;13.718;1.888;0.0000000000000000000000000;1.000;-100.009;0.013;-2.008;13.958;0.0000000000000000000000000;1.000;-117.243
52;-1.875;13.147;1.875;0.0000000000000000000000000;0.998;-38.979;-0.034;-1.554;12.501;0.0000000000000000000000000;0.999;-75.763
55;-1.980;12.930;1.980;0.0000000000000000000000000;0.999;-85.305;-0.008;-1.906;12.783;0.0000000000000000000000000;1.000;-87.560
56;-1.990;14.987;1.990;0.0000000000000000000000000;1.000;-87.778;-0.010;-1.897;14.799;0.0000000000000000000000000;1.000;-93.432
58;-1.990;15.345;1.990;0.0000000000000000000000000;0.999;-73.973;-0.001;-1.978;15.319;0.0000000000000000000000000;0.999;-72.062
59;-1.969;14.381;1.969;0.0000000000000000000000000;0.999;-67.538;-0.011;-1.866;14.173;0.0000000000000000000000000;0.999;-71.110
60;-1.976;14.027;1.976;0.0000000000000000000000000;0.999;-75.579;-0.003;-1.946;13.966;0.0000000000000000000000000;0.999;-74.130
61;-1.791;11.781;1.791;0.0000000000000000000000000;0.998;-45.108;-0.015;-1.653;11.504;0.0000000000000000000000000;0.998;-48.879
62;-1.905;15.219;1.905;0.0000000000000000000000000;0.999;-79.292;0.014;-2.033;15.476;0.0000000000000000000000000;1.000;-89.648
63;-1.979;14.656;1.979;0.0000000000000000000000000;0.999;-80.018;-0.010;-1.887;14.470;0.0000000000000000000000000;0.999;-84.108
64;-1.678;13.796;1.678;0.0000000000000000000000000;0.996;-12.452;0.035;-2.005;14.454;0.0000000000000000000000000;0.997;-27.053
65;-1.956;14.601;1.956;0.0000000000000000000000000;0.999;-75.347;0.011;-2.057;14.804;0.0000000000000000000000000;0.999;-79.878
67;-2.006;15.959;2.006;0.0000000000000000000000000;0.995;5.287;0.014;-2.136;16.220;0.0000000000000000000000000;0.995;5.870
68;-1.935;13.777;1.935;0.0000000000000000000000000;0.998;-34.708;-0.002;-1.918;13.743;0.0000000000000000000000000;0.998;-32.771
70;-1.961;14.485;1.961;0.0000000000000000000000000;0.999;-77.838;-0.005;-1.911;14.383;0.0000000000000000000000000;0.999;-77.477
71;-1.831;12.253;1.831;0.0000000000000000000000000;0.999;-53.561;-0.017;-1.672;11.933;0.0000000000000000000000000;0.999;-61.461
72;-1.922;14.021;1.922;0.0000000000000000000000000;0.999;-53.419;0.018;-2.089;14.357;0.0000000000000000000000000;0.999;-62.462
