id;k1;b1;D1;p-value linear 1;R_score1;AIC_linear1;kef x^2 (1);kef x (1);kef 1 (1);p-value quadr 1;R_score quadr 1;AIC_quadr1
0416;-1.927;14.636;1.927;0.000;0.999;-87.196;0.016;-2.039;14.807;0.000;0.999;-91.456
0417;-1.884;13.314;1.884;0.000;0.997;-45.933;-0.048;-1.551;12.807;0.000;0.999;-61.049
0418;-1.968;14.464;1.968;0.000;0.991;-3.736;0.037;-2.223;14.853;0.000;0.991;-3.784
0419;-1.996;15.312;1.996;0.000;0.993;-13.543;0.032;-2.215;15.646;0.000;0.994;-13.617
0420;-1.890;13.546;1.890;0.000;0.995;-27.413;0.031;-2.103;13.871;0.000;0.996;-28.528
0422;-1.999;15.252;1.999;0.000;0.995;-22.488;0.032;-2.222;15.592;0.000;0.996;-23.384
0424;-1.941;14.970;1.941;0.000;0.997;-38.912;0.027;-2.129;15.257;0.000;0.997;-40.458
0425;-1.914;12.701;1.914;0.000;0.997;-44.789;-0.009;-1.850;12.603;0.000;0.997;-43.261
0426;-1.945;14.441;1.945;0.000;0.999;-85.812;0.012;-2.029;14.569;0.000;0.999;-87.015
0427;-1.961;14.645;1.961;0.000;0.999;-79.891;0.025;-2.135;14.910;0.000;0.999;-91.070
0429;-1.968;15.386;1.968;0.000;0.987;6.686;0.025;-2.144;15.653;0.000;0.987;8.013
0430;-1.955;14.783;1.955;0.000;0.997;-36.770;-0.016;-1.847;14.619;0.000;0.997;-35.813
0431;-1.937;13.443;1.937;0.000;0.996;-29.984;0.031;-2.149;13.767;0.000;0.996;-31.359
0432;-1.900;14.227;1.900;0.000;0.998;-46.569;-0.021;-1.751;14.001;0.000;0.998;-47.359
0433;-1.846;13.843;1.846;0.000;0.998;-58.483;0.036;-2.092;14.218;0.000;0.999;-69.714
0435;-1.943;13.366;1.943;0.000;0.993;-12.154;0.040;-2.217;13.784;0.000;0.994;-13.310
0436;-1.903;13.456;1.903;0.000;0.999;-72.070;-0.012;-1.818;13.326;0.000;0.999;-72.113
0437;-1.870;15.167;1.870;0.000;0.999;-66.212;-0.023;-1.714;14.928;0.000;0.999;-70.395
0438;-1.981;14.496;1.981;0.000;0.999;-66.038;0.015;-2.085;14.655;0.000;0.999;-66.607
0439;-1.986;14.943;1.986;0.000;0.998;-52.843;0.035;-2.227;15.311;0.000;0.999;-60.979
0440;-2.003;15.277;2.003;0.000;0.999;-63.863;0.024;-2.170;15.531;0.000;0.999;-68.384
0441;-1.931;15.240;1.931;0.000;0.999;-82.805;0.026;-2.114;15.520;0.000;1.000;-97.850
